log capacity,log update,log init-update,time(s),proof size(KB)
29,14,2,97.56,7126
29,15,2,98.7,7126
29,16,2,98.22,7126
29,17,2,99.3,7126
29,18,2,101.64,7126
29,19,2,100.74,7126
29,20,2,103.74,7126
29,21,2,110.1,7126
29,22,2,123.72,7126
29,23,2,152.4,7126
29,24,2,202.92,7126
29,25,2,307.74,7126
29,26,2,530.88,7126
29,27,2,983.4,7126
30,1,2,265.68,7262
30,2,2,207.18,7262
30,3,2,206.76,7262
30,4,2,210.84,7262
30,5,2,286.2,7302
30,6,2,211.14,7302
30,7,2,206.76,7302
30,8,2,258.78,7302
30,9,2,242.16,7302
30,10,2,210.12,7302
30,11,2,220.92,7302
30,12,2,213.36,7302
30,13,2,202.02,7302
30,14,2,200.16,7302
30,15,2,201.66,7302
30,16,2,204.96,7302
30,17,2,205.92,7302
30,18,2,223.8,7302
30,19,2,211.86,7302
30,20,2,208.56,7302
30,21,2,219.84,7302
30,22,2,234.12,7302
30,23,2,265.98,7302
30,24,2,324.42,7302
30,25,2,430.86,7302
30,26,2,667.8,7302
31,1,2,569.04,7598
31,2,2,435.96,7598
31,3,2,435.12,7598
31,4,2,406.26,7598
31,5,2,410.7,7598
31,6,2,426.54,7598
31,7,2,413.52,7598
31,8,2,409.26,7598
31,9,2,419.88,7598
31,10,2,403.44,7598
31,11,2,507.72,7598
31,12,2,432.24,7598
31,13,2,426.66,7598
31,14,2,427.02,7598
31,15,2,402.12,7598
31,16,2,400.32,7598
31,17,2,442.8,7598
31,18,2,399.9,7598
31,19,2,523.5,7598
31,20,2,443.04,7598
