size,lookup_time(ms),lookup_size(B),client_key_size(B),audit_time(ms)
20,20.82,3488,668958,21.62
21,18.97,3776,735810,22.51
22,26.4,3824,735826,24.0
23,20.59,4112,802678,25.06
24,22.82,4160,802694,26.19
25,20.1,4448,869546,27.19
26,24.82,4496,869562,28.05
27,21.46,4784,936414,30.08
28,24.78,4832,936430,30.88
29,26.77,5120,1003282,32.13
30,26.36,5168,1003298,33.09
32,29.03,5504,1070166,35.63
