Log dictionary size,lookup_kzhk(ms),lookup_size(B)
20,8.648,2840
21,12.95,3096
22,15.33,3112
23,13.81,3368
24,12.48,3384
25,13.9,3640
26,15.66,3656
27,16.67,3912
28,17.95,3928
29,15.53,4184
30,21.56,4200
31,22.35,4456
32,33.19,4472
